stop_id,stop_lat,stop_lon
egitim-1,39.899856,32.775886
muze-1,39.90316,32.77087
rektorluk-2,39.89583,32.78442
kutuphane-1,39.89754711192457,32.78402392769266
iibf-3,39.89929,32.78373
gida-1,39.8876,32.77949
odtukent-2,39.88964067525299,32.77758121957821
jeoloji-1,39.88661,32.78122
bati_yurtlar-2,39.88751264397311,32.77784937738869
kimya-2,39.88727,32.78254
enformatik-3,39.8924,32.77731
makina-1,39.8901,32.7814
a1-1,39.906962796599956,32.783814668655396
insaat-1,39.88967,32.7843
teknokent-3,39.89661,32.77693
BOTE_MYO,39.901441390568586,32.772790789604194
ziraat-1,39.89177672407455,32.78819205713473
havacilik-1,39.88499,32.7778
egitim_2-1,39.90000034724381,32.77598818136978
a2-1,39.90706567093216,32.76588678359985
teknokent-1,39.89661,32.77693
dogu_yurtlar-1,39.88948,32.79061
iibf-2,39.89929,32.78373
mimarlik-1,39.89793,32.78067
garaj-1,39.90413,32.76989
yuva-1,39.89586,32.78077
enformatik-2,39.8924,32.77731
bati_yurtlar-3,39.88738094133789,32.777109146118164
makina-2,39.8901,32.7814
odtukent-4,39.889554235320645,32.777109146118164
rektorluk-1,39.89583088124915,32.78437258916084
a1-2,39.906781626252446,32.783750295639045
havacilik-2,39.88499,32.7778
garaj-2,39.90413,32.76989
egitim_fak,39.899856,32.775886
iibf-1,39.89929,32.78373
yuva-2,39.89586,32.78077
jeoloji-2,39.88661,32.78122
mimarlik-2,39.89793,32.78067
enformatik-1,39.89298288885078,32.77725937085334
insaat-2,39.88967,32.7843
kkm-1,39.89339,32.78558
kkm-2,39.893569,32.784823
teknokent-2,39.89661,32.77693
odtukent-1,39.88967773553035,32.7772592843953
sobi-1,39.894419,32.784962
isbank-1,39.89169870207898,32.78922207914066
dogu_yurtlar-2,39.88948,32.79061
kimya-1,39.88727,32.78254
odtukent-3,39.889554235320645,32.777109146118164
muze-2,39.90219727658543,32.77184120816499
bati_yurtlar-1,39.887524883030316,32.77770969922665
ydyo-1,39.900275619540075,32.78178690929334
endustri-1,39.89235,32.78107
gida-2,39.8876,32.77949
a2-2,39.9069,32.76572
rektorluk-3,39.89583,32.78442
bati_yurtlar-4,39.88738094133789,32.777109146118164
endustri-2,39.89235,32.78107
